idp;a;espar;ori;veget;datemort;c13;v;w
700024;5;12V;0;C;2;62;0.218;88.40
700024;6;12V;0;C;2;58;0.186;88.40
700024;8;12V;0;C;2;66;0.252;88.39
700024;9;12V;0;C;2;87;0.474;39.29
700024;19;03;1;5;2;50;0.141;88.40
700024;20;52;1;5;2;24;0.017;88.42
700074;9;10;0;5;2;110;0.580;39.28
700074;14;10;0;5;2;177;1.431;14.14
700099;18;28;1;5;1;38;0.033;88.41
700099;20;28;1;5;1;26;0.017;88.42
700099;21;28;1;5;1;46;0.046;88.41
700099;22;28;1;5;1;54;0.061;88.40
700099;23;28;1;5;1;42;0.039;88.41
700124;18;22M;0;5;1;25;0.013;88.42
700126;10;15S;0;5;1;26;0.019;88.42
700126;16;15S;0;5;1;29;0.028;88.41
700126;17;15S;0;5;1;27;0.022;88.41
700135;3;52;1;A;;73;0.211;39.29
700135;12;52;1;5;2;47;0.068;88.41
700157;24;12V;1;C;1;82;0.369;39.29
700178;17;62;1;C;2;105;0.812;39.28
700210;5;62;1;C;2;50;0.118;88.40
700210;6;62;1;C;2;34;0.037;88.41
700210;11;62;1;5;2;30;0.024;88.41
700210;20;62;1;C;1;70;0.294;88.39
700210;22;62;1;5;1;39;0.057;88.41
700210;27;62;1;C;2;42;0.071;88.41
700220;3;03;1;C;2;31;0.025;88.41
700220;10;09;0;C;2;41;0.063;88.41
700220;17;03;0;5;1;32;0.028;88.41
700282;10;25R;1;A;;50;0.086;88.40
700323;6;13G;0;C;2;52;0.152;88.40
700423;18;13B;0;C;2;73;0.318;39.29
700450;7;64;1;5;2;32;0.031;88.41
700450;10;03;1;5;2;34;0.045;88.41
700450;13;03;1;5;2;24;0.010;88.42
700474;2;10;0;5;1;27;0.020;88.41
700474;10;10;0;5;1;34;0.041;88.41
700474;12;10;0;5;1;34;0.041;88.41
700474;22;10;0;5;1;30;0.028;88.41
700474;23;10;0;5;1;26;0.017;100.01
700474;24;10;0;5;1;35;0.045;92.88
700474;25;10;0;5;1;37;0.052;88.41
700474;26;10;0;5;1;28;0.022;88.41
700474;27;10;0;5;1;42;0.073;91.94
700474;31;10;0;5;1;32;0.034;88.41
700474;32;10;0;5;1;24;0.012;94.20
700538;4;12V;1;C;2;171;1.969;14.14
700588;22;41;0;5;2;32;0.031;88.41
700588;24;24;1;5;2;25;0.017;88.42
700588;25;24;1;C;2;38;0.068;88.41
700676;5;10;1;5;2;268;2.799;14.14
700679;9;02;1;C;1;87;0.498;39.29
700679;16;02;1;5;2;87;0.498;40.01
700720;6;03;0;5;2;27;0.019;88.41
700814;12;11;0;C;2;33;0.038;88.41
700824;6;14;1;C;2;29;0.026;88.41
700829;17;62;1;A;;49;0.118;88.40
700883;11;12V;0;C;2;35;0.048;88.41
700897;8;08S;1;5;2;154;0.766;14.15
700897;16;08S;1;5;2;39;0.033;88.41
700900;4;17C;0;5;2;40;0.080;88.41
700957;14;14;0;5;2;24;0.012;88.42
700957;16;14;0;5;2;29;0.026;88.41
700957;21;14;0;5;2;31;0.033;88.41
701000;9;10;0;5;1;66;0.194;88.39
701009;9;10;0;5;2;24;0.011;88.42
701024;20;02;1;5;2;77;0.349;39.29
701051;14;12V;0;C;2;30;0.030;88.41
701138;2;10;0;5;2;26;0.015;88.42
701138;4;10;1;5;2;232;2.500;14.14
701138;9;10;0;5;2;29;0.023;88.41
701138;10;24;1;C;2;115;1.080;39.28
701140;13;57A;1;5;2;60;0.125;88.40
701148;7;25M;1;5;1;24;0.014;88.42
701156;4;10;0;5;1;25;0.013;88.42
701172;1;54;1;A;;148;1.557;16.90
701209;25;40;0;5;1;27;0.015;88.41
701211;6;11;1;5;1;28;0.023;88.41
701211;7;11;1;5;1;25;0.015;88.42
701321;7;02;1;5;1;61;0.213;88.40
701379;6;17C;0;5;1;24;0.013;88.42
701379;11;17C;1;5;1;27;0.021;88.41
701420;10;10;0;5;2;34;0.039;105.19
701438;20;61;1;C;2;47;0.107;88.41
701438;21;61;1;C;2;49;0.120;88.40
701454;11;03;0;5;2;25;0.008;88.42
701467;9;62;1;C;2;74;0.367;39.29
701491;1;02;0;5;2;27;0.018;155.85
701491;3;17C;0;5;2;30;0.030;122.73
701491;6;17C;0;5;2;40;0.070;114.72
701491;9;17C;0;5;2;28;0.024;103.54
701491;12;17C;0;5;2;37;0.057;104.86
701491;17;02;0;5;2;24;0.011;88.42
701500;10;09;1;C;2;40;0.075;88.41
701504;13;11;0;5;1;33;0.038;88.41
701532;2;52;1;5;1;48;0.072;88.41
701583;1;10;0;5;1;133;0.925;18.67
701617;6;12V;1;A;;119;0.847;14.14
701636;5;52;1;5;2;71;0.197;39.29
701636;7;52;1;C;2;81;0.275;39.29
701636;8;52;1;C;2;45;0.061;88.41
701636;10;52;1;C;2;38;0.039;88.41
701636;16;52;1;C;1;74;0.219;39.29
701636;17;52;1;5;1;72;0.204;39.29
701636;19;52;1;5;1;60;0.128;88.40
701636;20;52;1;C;2;34;0.029;88.41
701636;22;52;1;C;2;33;0.027;88.41
701644;20;10;0;5;2;30;0.022;88.41
701739;8;62;1;5;1;81;0.457;39.29
701755;19;06;0;5;1;27;0.013;88.41
701755;21;06;0;5;2;24;0.009;88.42
701850;14;18C;1;5;1;33;0.034;88.41
701910;2;12V;1;5;1;32;0.038;88.41
701965;1;05;1;5;2;33;0.033;88.41
701965;9;05;1;5;1;43;0.070;88.41
