idp;xl93;yl93;dep;csa;uta1;uta2;tm2;plisi;elisi;sfo;gest;incid;peupnr;dc;dcespar1;dcespar2;tplant;tpespar1;tpespar2;dist;iti;pentexp;portance;asperite;esspre;cac;ess_age_1
700017;885119;6599150;39;1;0;;3;0;;2;0;0;0;0;;;0;;;0;0;0;1;0;03;08;
700024;763926;6917965;51;1;0;;3;0;;1;1;0;0;0;;;0;;;2;1;0;1;0;52;10;
700038;633458;6615273;36;1;0;;3;0;;1;2;0;0;9;;;0;;;1;1;0;1;0;03;13;
700039;427169;6802851;53;1;0;;2;1;65;1;1;0;0;0;;;0;;;0;0;3;1;1;10;14;
700041;425681;6379210;33;1;0;;3;0;;0;2;0;2;3;51;;0;;;1;1;0;1;0;51;NR;
700050;940552;6770544;88;1;0;;3;0;;1;2;0;0;8;;;0;;;0;0;0;1;0;09;11;
700074;665766;6417174;15;1;0;;3;0;;3;1;0;0;9;;;0;;;0;0;4;;;09;14;
700075;878224;6377408;26;3;0;;3;0;;0;0;0;0;0;;;0;;;2;2;4;;;05;18;
700080;696532;6392938;12;1;0;;3;0;;1;2;0;0;0;;;0;;;4;1;2;1;0;09;15;
700095;846607;6769352;52;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;1;2;0;02;14;
700099;943621;6314909;04;1;0;;3;0;;4;0;0;0;0;;;0;;;1;2;4;;;05;12;
700124;617407;7085119;62;1;0;;2;1;248;1;2;0;0;0;;;P;17C;15S;0;0;0;1;0;17;05;
700126;676200;6944693;80;1;0;;3;0;;3;1;0;0;0;;;0;;;0;0;0;1;0;19;06;
700135;784104;6470124;43;1;0;;3;0;;1;1;1;0;0;;;0;;;0;0;3;1;0;52;11;
700139;690585;6161232;66;3;0;;3;0;;0;0;0;0;0;;;0;;;0;0;0;1;0;33;AA;
700157;634669;6521341;23;1;0;;3;0;;1;1;0;0;0;;;P;62;61;0;0;1;1;0;62;10;
700178;994701;6792060;88;1;0;;3;0;;1;2;0;0;0;;;P;62;;1;1;0;2;0;62;12;
700191;1213350;6088812;2A;1;0;;3;0;;3;1;0;0;0;;;0;;;1;1;1;1;0;51;12;
700210;787693;6422138;43;1;0;6;3;0;;1;1;1;0;0;;;0;;;0;0;0;1;0;62;11;
700220;824491;6519736;69;1;0;;3;0;;3;1;0;0;0;;;0;;;0;0;2;2;0;10;11;
700228;365825;6389691;33;1;0;;3;0;;1;1;0;0;0;;;0;;;2;1;1;2;0;51;09;
700264;475546;6368808;47;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;0;1;0;03;13;
700282;515558;6254593;31;1;0;;3;0;;1;0;0;0;0;;;0;;;0;0;0;1;0;02;12;
700284;924158;6375016;05;1;8;;3;0;;2;;0;0;0;;;0;;;4;2;4;;;54;05;
700287;691089;6221161;11;1;0;;3;0;;1;1;0;0;0;;;I;51;;1;1;3;1;0;51;09;
700292;640443;6733125;45;1;0;;3;0;;1;2;0;0;0;;;0;;;0;0;0;2;0;52;10;
700315;541600;6863865;27;1;0;;3;0;;1;2;0;0;0;;;0;;;1;1;0;1;0;03;15;
700319;351333;6327871;40;1;0;;3;0;;1;2;0;0;8;;;0;;;0;0;0;2;0;51;11;
700323;758231;6482333;63;1;0;A;3;2;306;4;0;0;0;9;;;0;;;0;0;0;1;0;13;12;
700331;915966;6932654;57;1;0;;3;0;;1;2;0;0;8;;;0;;;0;0;0;1;0;09;15;
700359;642777;6177616;66;3;6;0;3;0;;0;0;0;0;0;;;0;;;4;2;2;1;0;52;11;
700362;805779;6903616;51;1;0;;3;2;172;1;2;0;0;0;;;P;54;;0;0;0;2;0;54;04;
700367;503758;6880169;14;1;0;;2;1;2;3;1;0;0;0;;;0;;;0;0;0;1;0;25;04;
700369;626643;6517411;19;1;0;;3;0;;1;2;0;0;8;;;P;62;;1;1;1;1;0;62;06;
700375;979595;6894127;57;1;0;;3;0;;1;2;0;0;9;;;0;;;2;1;0;1;0;02;06;
700380;531524;6853955;61;1;0;;3;0;;1;2;0;0;0;;;P;53CO;;1;1;0;1;0;53;06;
700394;566367;6477950;24;1;0;6;2;1;142;1;0;0;0;0;;;0;;;0;0;0;1;0;12;07;
700397;676217;6353149;12;1;0;;3;0;;1;2;0;0;0;;;P;64;;0;0;1;2;0;64;04;
700413;632873;6187688;11;1;0;;3;0;;2;0;0;0;0;;;0;;;0;0;2;2;1;52;09;
700423;958832;6804363;88;1;0;;3;0;;3;1;0;0;0;;;0;;;0;0;0;1;0;17;12;
700427;846436;6749367;21;1;0;;3;0;;3;2;0;0;0;;;0;;;1;1;2;1;0;09;15;
700428;606660;6995251;80;1;0;;3;1;130;1;2;0;0;0;;;0;;;0;0;0;1;0;17;14;
700431;356314;6937349;50;1;0;;3;0;;3;2;0;0;8;;;0;;;0;0;0;1;0;02;09;
700432;888470;6407291;26;1;0;8;3;0;;1;1;0;0;0;;;0;;;2;2;3;2;0;54;10;
700450;764448;6744070;89;1;0;;3;0;;1;2;0;0;0;;;0;;;2;1;0;2;0;03;13;
700455;999495;6883960;67;1;0;;3;0;;1;2;0;0;6;09;;0;;;0;0;0;2;0;09;NR;
700474;499807;6644364;86;1;0;;3;0;;4;2;1;0;0;;;0;;;1;1;0;1;0;10;06;
